phase,flux_binned
-0.49722222,nan
-0.49166667,nan
-0.48611111,nan
-0.48055556,nan
-0.47500000,nan
-0.46944444,nan
-0.46388889,nan
-0.45833333,nan
-0.45277778,nan
-0.44722222,nan
-0.44166667,nan
-0.43611111,nan
-0.43055556,nan
-0.42500000,nan
-0.41944444,1.00009406
-0.41388889,nan
-0.40833333,0.99999022
-0.40277778,1.00001448
-0.39722222,0.99999687
-0.39166667,0.99994152
-0.38611111,1.00002658
-0.38055556,0.99999797
-0.37500000,nan
-0.36944444,1.00000864
-0.36388889,1.00003386
-0.35833333,0.99999809
-0.35277778,nan
-0.34722222,0.99997625
-0.34166667,1.00000638
-0.33611111,1.00000238
-0.33055556,0.99996322
-0.32500000,0.99999124
-0.31944444,0.99999332
-0.31388889,1.00004727
-0.30833333,1.00000948
-0.30277778,1.00002730
-0.29722222,1.00002596
-0.29166667,nan
-0.28611111,1.00000590
-0.28055556,1.00001380
-0.27500000,1.00000611
-0.26944444,0.99998629
-0.26388889,0.99999726
-0.25833333,0.99999380
-0.25277778,1.00007671
-0.24722222,0.99995887
-0.24166667,1.00001732
-0.23611111,1.00002402
-0.23055556,nan
-0.22500000,1.00000513
-0.21944444,1.00001895
-0.21388889,0.99999875
-0.20833333,1.00000864
-0.20277778,1.00004506
-0.19722222,1.00002587
-0.19166667,0.99997580
-0.18611111,1.00001758
-0.18055556,1.00001794
-0.17500000,1.00002837
-0.16944444,nan
-0.16388889,1.00001061
-0.15833333,1.00001916
-0.15277778,1.00004911
-0.14722222,1.00001920
-0.14166667,1.00001025
-0.13611111,1.00003824
-0.13055556,1.00001970
-0.12500000,0.99997762
-0.11944444,0.99997759
-0.11388889,1.00002986
-0.10833333,nan
-0.10277778,0.99998176
-0.09722222,1.00004005
-0.09166667,1.00002870
-0.08611111,0.99992631
-0.08055556,0.99999136
-0.07500000,1.00002587
-0.06944444,1.00000143
-0.06388889,1.00000530
-0.05833333,1.00000036
-0.05277778,1.00002062
-0.04722222,nan
-0.04166667,0.99994797
-0.03611111,0.99993238
-0.03055556,0.99991619
-0.02500000,0.99979585
-0.01944444,0.99984005
-0.01388889,0.99985618
-0.00833333,0.99984491
-0.00277778,0.99981539
0.00277778,0.99981207
0.00833333,0.99984252
0.01388889,nan
0.01944444,0.99981280
0.02500000,0.99982480
0.03055556,0.99987870
0.03611111,nan
0.04166667,0.99995953
0.04722222,0.99999309
0.05277778,0.99998474
0.05833333,1.00004134
0.06388889,1.00001168
0.06944444,0.99999440
0.07500000,nan
0.08055556,0.99998587
0.08611111,1.00001705
0.09166667,1.00000781
0.09722222,nan
0.10277778,1.00000966
0.10833333,0.99999624
0.11388889,0.99998534
0.11944444,1.00005782
0.12500000,0.99998087
0.13055556,1.00000197
0.13611111,nan
0.14166667,0.99997643
0.14722222,0.99999571
0.15277778,1.00000882
0.15833333,nan
0.16388889,1.00000775
0.16944444,1.00000483
0.17500000,1.00001705
0.18055556,1.00002140
0.18611111,1.00000978
0.19166667,0.99999464
0.19722222,nan
0.20277778,1.00004303
0.20833333,1.00000116
0.21388889,0.99999821
0.21944444,nan
0.22500000,1.00000599
0.23055556,1.00000107
0.23611111,0.99999738
0.24166667,0.99999657
0.24722222,1.00001145
0.25277778,1.00000650
0.25833333,nan
0.26388889,1.00003600
0.26944444,0.99999458
0.27500000,0.99998319
0.28055556,nan
0.28611111,1.00001231
0.29166667,0.99998617
0.29722222,1.00000316
0.30277778,0.99999511
0.30833333,1.00002253
0.31388889,1.00000629
0.31944444,1.00008446
0.32500000,1.00003043
0.33055556,0.99999064
0.33611111,0.99999654
0.34166667,nan
0.34722222,0.99999452
0.35277778,0.99999848
0.35833333,0.99999583
0.36388889,1.00002414
0.36944444,0.99999401
0.37500000,0.99998006
0.38055556,1.00006491
0.38611111,0.99999225
0.39166667,1.00001240
0.39722222,1.00001502
0.40277778,nan
0.40833333,1.00000632
0.41388889,0.99999556
0.41944444,0.99996090
0.42500000,nan
0.43055556,nan
0.43611111,nan
0.44166667,nan
0.44722222,nan
0.45277778,nan
0.45833333,nan
0.46388889,nan
0.46944444,nan
0.47500000,nan
0.48055556,nan
0.48611111,nan
0.49166667,nan
0.49722222,nan
